Dates,Tweets
2022-12-13,@BOMgirltweets Knew it would resonate :) and thank you for the Darwish reminder. Suddenly want to go read Pamuk's My Name is Red again
2022-12-12,"@fromdeepoceans من دلم میخواست میتونستم اما نمیشه
الان که هیچ ...گمون نکنم تا اخر عمرم دیگه بتونم حس شادی رو عمیقا تجربه کنم"
2022-12-12,@BaeBaeRahma رواية اسمها my name is red
2022-12-12,@Estelle_Vasude1 My name is red
2022-12-12,"Kitapta Fatih Altuğ'un yazdığı ""Non-Human Beings, Agency, and Networks in Orhan Pamuk’s The Black Book, The New Life and My Name is Red"", Halim Kara'nın yazdığı ""Murder as a Literary Device in Orhan Pamuk’s Nights of Plague"" başlıklı bölümler yer alıyor."
2022-12-12,@_my_name_is_red @RadioFarda_ 👏👏👏👏👏
2022-12-12,"@meowolek HI HI HI!! my name is red or oliver and i'm a demiro + demiace transmasc!! i'm also autistic, i talk about a lot of stuff on the tl and i'm an artist, i don't post much of my art on my acc but here's some of my work! https://t.co/NFn9YOhuwe"
2022-12-11,"For some reason ever since reading My Name is Red, I’ve been thinking about poking sharp objects into my eye. Always my left eye, and usually the impulse occurs before I’m even aware of it. It’s quite fascinating"
2022-12-11,"@SaraJoRomero @shonnamcnasby My Top Fiction
My Name is Red- Pamuk
People of the Book- Brooks
The Goldfinch- Tartt
Also ❤
Remarkable Creatures
Tulip Fever
The Miniaturist
Last Painting of Sara de Vos
And a non-fiction that reads like poetic page-turner The Vanishing Velázquez- Laura Cumming
everyone 🙏 add!"
2022-12-11,@RadioFarda_ جبهه نگیرید انقدر هی میگین جذب قشر خاکستری ولی تا یه نفر یه حرف درست میزنه میخواین بکشنیش
2022-12-11,"@corrector_pen به امید آزادیش
وسط اینهمه خبر بد این خبر بهم امید و قوت قلب داد"
2022-12-11,@cheragh_aseman عقل عرزشی
2022-12-11,"@gh0lch0magh دقیقا منم
ساعت ۱۰ که شد یه کم اروم شدم که با این خبر اتقدر حالم بد شد که ایکاش دیگه هیچوقت تجربه اش نکنم"
2022-12-11,"@AriaJojo2 @_my_name_is_red @shahriyar_shams زندان رجایی شهر اون دیواری نیست که شما از بیرون می‌بینید
یه هسته مرکزی داره که بند ها (اندرزگاه ها) داخل اون قرار دارن
و سالن اعدام هم داخل هسته مرکزی پشت بند ساختمان هاست
با رنگ قرمز مشخص اش کردم
#دیکتاتور_به_پایان_سلام_کن 
#ماهان_صدارت https://t.co/MjAndcbsX8"
2022-12-11,@arash81245076 @IranIntlbrk نه ۱۰ نفر که خیلی کمه تعدادو ببر بالا مشتری میشن
2022-12-11,@_my_name_is_red @IranIntlbrk اگر در هر روز ۱۰ نفر را اصلاح کنن از قرار ۸۰ میلیون نفر چند سال طول میکشه که هممون اصلاح بشیم؟مخم این لحظه هنگه نمیتونم حساب کنم
2022-12-11,@IranIntlbrk دخالت کردن و گفتن همه رو اعدام کنن چیزی نمیشه حدود ۸۰ میلیون نفریم فقط
2022-12-11,@_my_name_is_red @bnfsh17 @Shahinlooo شما هر زمان تونستید دوتا حرف بدرد بخور بزنید اونوقت منو نگاه کنید تا جوابتان رو بدهم . شما اینتر نشنال ومن وتو رو بیشتر از بقیه میبینی مطمئنم که میگم وگرنه شرایط جامعه ما فقط نشون میده همچی آرومه همه خوشحالن و .. دوروز تعطیلی میشه جاده چالوس ، رشت ، شیراز ، اصفهان وو.... ترافیکه
2022-12-11,@aliferferi @samrajabii سام مرد عمله فقط نمیشینه حرف بزنه هرکار که بتونه میکنه
2022-12-11,@shahriyar_shams @_my_name_is_red https://t.co/H9mchtNdci
2022-12-11,"@elham61417665 به زودی آزاد میشه مطمئنم زود برمیگرده
قوی باشید کنارتونیم
به امید خبرهای خوش 
#امیرحسین_رحیمی"
2022-12-11,"@TeamMagmaMind ...So this is the so called, Team Magma. He frowns for a moment, taking a moment before writing again.

🖊 | I visited Hoenn briefly once I heard of your team. If you're an admin, I suppose you saw me battle some grunts, though I don't think I've seen you.

My name is Red. |"
2022-12-10,@_my_name_is_red @shahriyar_shams #ماهان_صدارت
2022-12-10,@_my_name_is_red @shahriyar_shams #سهند_نورمحمدزاد  #سهند_نور_محمدزاده
2022-12-10,@_my_name_is_red @shahriyar_shams #سهند_نورمحمدزاده #ماهان_صدارت ازاد شوند
2022-12-10,"@_my_name_is_red @shahriyar_shams #سهندنورمحمدزاده 
#سهندنورمحمدزاده
#سهندنورمحمدزاده"
2022-12-10,"@lynnsstrong My Name is Red, Pamuk,
The Name of the Rose, Eco,
The Last Temptation of Christ, Kazantzakis,
Fiesta, Hemingway,
Laus Veneris, Swinburne,
Hour of the Star, Lispector,
Gitagovindam, Jayadeva,
Bacchae, Euripides."
2022-12-10,@_my_name_is_red @shahriyar_shams #سهند_نورمحمدزاده زنده باد
2022-12-10,@_my_name_is_red @shahriyar_shams #SahandNoorMohammadzadeh
2022-12-10,"@beingpowerfull این خانواده هارو تنها نذاریم
اتحاد ما قدرتمنده
کنار هم باشیم تا آزادی
#امیرحسین_رحیمی"
2022-12-10,@_my_name_is_red @shahriyar_shams فراخان جلو در زندان فک کنم بهترین راه تا دیده شدن #تو این زمان کم
2022-12-10,"@_my_name_is_red @shahriyar_shams برای زندگی
#Mohammad_Ghobadlou
#Sahand_Nourmohammadzadeh
#Mahan_Sadrat_Madani"
2022-12-10,"@HichkasOfficial تو تنها کسی هستی که این مدت شبانه روز داری تلاش میکنی
رهبر من تویی
کاش بقیه هم به اندازه تو فعال بودن
#سهند_نورمحمدزاده 
#ماهان_صدارت 
#ماهان_صدرات"
2022-12-10,@_my_name_is_red نه متاسفانه... منم شنیدم و به شدت نگرانم....
2022-12-10,"@shahriyar_shams از #سهند_نورمحمدزاده خبری دارین؟
الان توی اکانتی دیدم اون رو هم بردن انفرادی"
2022-12-10,@_my_name_is_red حالا مقدس بودن برای جماعتی که پاش بیوفته سر ناموسشونم میبرن خیلی واژه‌ی پرمعنایی نیست. شما حرص نخور
2022-12-10,"@frzaneh4 دفتر بسیجم مقدس شد؟؟ خاک بر سرشون با این افکارشون
واقعا مغزم هنگ کرده"
2022-12-10,"@borhanimohsen1 اقا ما دستمون به جایی بند نیست
ما چیکار کنیم برای این بچه ها
داریم دیوونه میشیم
#ماهان_صدرات
#محمد_بروغنی"
2022-12-10,"@1500tasvir چیکار کنیم؟ چیکار کنیم
چقدر ما بدبختیم توروخدا بریم بیرون فکر کنیم ۳۱ شهریوره
نذاریم این بچه رو بکشن
یعنی یه ادم بین این کصافطا پیدا نشد"
2022-12-10,"@assistmint 'Yeah! Let's be friends! My name is Red.

What's yours? Or a nickname?'"
2022-12-10,@3asalllllll « My name is red » the best I’ve ever read. Highly recommend !
2022-12-10,@mr_hooman_ @Shahinlooo گمشو بابا دوزاری خل و چل تو کصافط ج.ا دست و پا بزن با دلار ۴۰ تومن و تورم چندصد درصدی لیاقتت زندگی در همین سطحه چون انقدر احمقی که فرق خوب و بد نمیفهمی
2022-12-10,@Bonjour6352627 @_my_name_is_red @Shahinlooo فقط باید بمیریم
2022-12-10,"@_my_name_is_red @Shahinlooo #علی_معظمی
#محسن_هاشم‌زهی 
هشتگ خالی نزن"
2022-12-10,"#装丁の好きな書籍10選
My Name Is Redはイスタンブールの本屋でジャケ買いして大当たり。ザリガニの雄大な自然が好き。ティファニーかわいい。Why Dylan Mattersはギターの6弦も良いアイデア。 a long way goneは好きと言うと語弊あるけどパワーのある良い表紙。風の歌を聴けはこの絵も含めて好き😊 https://t.co/Yha4D2dP6V"
2022-12-09,@_my_name_is_red @Shahinlooo اوه اینجارو،رسما تفکر سعودی نشنال و منوتو و بی بی سی و دشمن های ایران رو داری بعد به من میگی حفظ میکنم؟🤣🤣 حقیقتا خیلی خنده دار بود
2022-12-09,@izzuerishu because my name is red ?? 🥲
2022-12-09,"@mirsiyahsavar @gh0lch0magh @elia12420 ما اسلام رو با همه نوع مذهبی شناختیم چیزی جز خشم و قتل و مرگ و سیاهی ندیدیم
امیدوارم دین شما هرچی که هست دین مهربانی و انسانیت باشه دینی که از ظلم و کشتار و تجاوز بویی نبرده باشه
حالا اسمش هرانچه که هست مهم نیست"
2022-12-09,"@JTeimasi جوانای عزیزم به امید خبرهای خوش دنبالت میکنم
قلبم هر لحظه پیشته و مدام بهت فکر میکنم
به امید ازادی محسن عزیزت
#محسن_مظلوم"
2022-12-09,"@MahsaAnonymous @gh0lch0magh در مورد اونهایی که اموزش دیده ان نمیگم در مورد افراد عادی میگم که بارها از این گاف ها دادن
وگرنه که حرفت کاملا درسته"
2022-12-09,@MazMHussain Ever read My Name is Red? Been on my list for a long time
2022-12-09,"@gh0lch0magh @elia12420 دوستان بفرمایید گوشه ی کوچکی از اسلام واقعی واقعی 
این اسلام دیگه همون اسلامه"
2022-12-09,@gh0lch0magh هرچی میگیم والا بلا شما عرزشیا خرین عقل ندارین میگن نه بعد عرعرکنان توییت میزنن باز
2022-12-09,@mohsen67376762 @bnfsh17 @Shahinlooo یعنیا این کلمه شبکه اونور ابی رو از شماها بگیرن لال میشین کلا نمیتونین حرف بزنین من اصلا من و تو و اینترنشنال نه نگاه میکنم نه قبول دارم فقط کور نیستم و دارم جامعه ای که داخلشم رو میبینم
2022-12-09,"@Morteza_Sorkh1 ادم چی میتونه بنویسه؟
این پسر خوده زندگیه
مرگ بر این جمهوری اسلامی پلید"
2022-12-09,"@notoir1 @1500tasvir کار درست همینه
امیدوارم سلامت بمونه"
2022-12-09,"@1500tasvir ۱۵۰۰ تصویر خیلی دوستتون دارم
شما علاوه بر اطلاع رسانی های خوبتون آدمهای شریفی هستین که همدردی رو خوب بلدین
این حرف رو خیلی اکانتها گفتن ولی لحن گفتنشون ازاردهنده بود"
2022-12-09,"@zahraarab5 @borhanimohsen1 هیچی خودشم یا سر به نیست میکنن یا زندانی میکنن طبق رافت اسلامی
به روال تمام این سالها"
2022-12-09,@borhanimohsen1 برای این‌همه حکم اعدام صادر شده چکار کنیم؟ #علی_معظمی
2022-12-09,@mr_hooman_ @Shahinlooo واای مردم از خنده با این جوابت😂😂😂 تو همون جواب ندی سنگین تری بذار لااقل همونا که حرفاشونو حفظ میکنی حرف بزنن تو که اخه از خودت نظری نداری بنده خدا
2022-12-09,"@TheEconomist 🇨🇦 ~ 🐘

.. “If such a person appears” 

· Nice to meet you, my name is Red Elephant© ..🍁"
2022-12-09,@_my_name_is_red @Shahinlooo در جواب مخالف میدونم چی باید بگم ولی در جواب مغز شستشو داده شده های مسخ شده ای رسانه بن سلمان و لندن نشین نباید جواب عادی داد
2022-12-09,@bnfsh17 @_my_name_is_red @Shahinlooo بدون مطالعه ، بدون فکر . بدون تحقیق . بدون راهکار وووو.... عقلمون رو دادیم به چشمامون و شبکه های اونور آبی 😢 ما راه اعتراض کردنمون اشتباه بود . توهم انقلاب کردن بهمون دادن الانم دارن به ریش ما میخندن☹️شبکه های انتر نشنال ، من وتو بیان جواب بدن دیگه؟؟؟!! یا اونا رو مقصر نمیدونی؟
2022-12-09,"@dariush_omran بنویسید 
تا میتونید از پسرتون بنویسید
امیدوارم خیلی زود برگردن به خونه"
2022-12-09,@_my_name_is_red @Shahinlooo باید به دادگاه هایی که عزیزانمان رو دارن حکم مرگ شونواین  لاشخورا صادر میکنن  حمله کنیم . چرا نشتین ای مردم  دارن بچه های بیگناه مارو  پر پر میکنن .
2022-12-09,"@mr_hooman_ @Shahinlooo خیلی بی سوادی خیلی بدبخت و حقیری تو دنیای واقعی مطمئنا کسی ادم حسابت نمیکنه 😂😂
تو حتی نمیفهمی چی باید در جواب مخالف بنویسی
نه ما زندگی نمیکنیم چون تو و اربابات ریدین تو کشورمون
گمشو تو طویله ات درم ببند"
2022-12-09,@_my_name_is_red @Shahinlooo تا الان زندگی میکردی مگه؟داشتی میدادی بیزنسی
2022-12-08,@_my_name_is_red @Shahinlooo #علی_معظمی
2022-12-08,"@janana653 بنظرم اصلا درست نیست این توییت ...اگه مرهم نیستیم براشون حداقل نمک نپاشیم به زخمشون ..حس گناه دادن به این خانواده داغدار خیلی بیرحمانه اس
#محسن_شکاری"
2022-12-08,@_my_name_is_red @Shahinlooo مگه تا الان داشتی زندگی میکردی؟
2022-12-08,@FitFounder My Name Is Red by Orhan Pamuk 👌
2022-12-08,@_my_name_is_red @bnfsh17 @Shahinlooo توییت به زبان انگلیسی بزنیم زیر خبرگزاری های خارجی. عکس زندانی های سیاسی محکوم به اعدام رو هم بذاریم براشون.
2022-12-08,My name is Red Apple Cass I'm 12 years old and i'm pregnant as FUCK!
2022-12-08,"@Edward68068522 @faryaddarkhafa منم همینطور
من دار و ندارمو میدم"
2022-12-08,@Bonjour6352627 @Shahinlooo من تا مدتها نمیتونم باور کنم همیشه ابنجوریم واقعا نمیدونم امروز بدترین صبح زندگیم بود هیچوقت فراموش نمیکنم
2022-12-08,@shahriyar_shams شهریار این خبرایی که در مورد #علی_معظمی هست از صحتش اطلاعی داری؟
2022-12-08,"@KiyomizuAkua Not a Vtuber...yet. But, I sometimes say my name is Red irl. Lol"
2022-12-08,Hello. My name is Red Hood. You blasted my sleep. Prepare to be scared
2022-12-08,"@AtenaDaemi ریتوییت کنین بچه ها زیر پست های افراد تریبون دار اسم های بچه هایی که در معرض خطرن مدام بنویسین
همه جا فقط باید حرف از اینها باشه
#علی_معظمی"
2022-12-08,"@_my_name_is_red @Shahinlooo فقط باید بیایم تو خیابون با تمام خشم و نفرتمون تیکه تیکشون کنیم 
#مهسا_امینی
#محسن_شکاری"
2022-12-08,"@_my_name_is_red @Shahinlooo دم زندان اتيش بپا كنيم
كدوم زندانه؟"
2022-12-08,@_my_name_is_red @Shahinlooo یه بغض وحشتناک گلومو گرفته داره خفه میکنه نمیدونم چیکارکنم دستم به هیچ جا نمیرسه
2022-12-08,@_my_name_is_red @Shahinlooo من قشنگ دیگه لمس شدم از همه جنایت از اسن همه درد کیرم دهن خامنه ای کیرم تو این قانونای کیریشون #مهسا_امینی
2022-12-08,"@bnfsh17 @Shahinlooo تنها چیزی که به ذهنم میرسه اینه که امثال علی کریمی و همه افراد مهم تریبون دار اسمش رو بیارن مخصوصا اینستا چون همه اینستان تویبتر کاربرای خیلی کمتری داره
نمیدونم واقعا درمانده و ضعیفم"
2022-12-08,@_my_name_is_red @Shahinlooo وای چکار کنم دارم دیونه میشم.قلبم داره وامیسته.چه زندگی شد ؟
2022-12-08,@_my_name_is_red @Shahinlooo پیداکردی بمنم بگو
2022-12-08,@_my_name_is_red @Shahinlooo چقد میفهمم چی میگی...دلم میخواد بمیرم فردا رو نبینم
2022-12-08,@_my_name_is_red @Shahinlooo #MohsenShekari
2022-12-08,"@Shahinlooo یکی بگه چه خاکی تو سرم بریزم که فایده داشته باشه؟
اگه این بچه رو هم فردا اعدام کنن با چه رویی بعد از این زندگی کنیم؟
#علی_معظمی"
2022-12-08,"@sepehra کاش من مرده بودم کاش من بمیرم
این زندگی هارو به هشتگ و عدد تقلیل ندیم
اینا هرکدوم دنیایی بودن
ننگ برما اگر پا پس بکشیم
#محسن_شکاری"
2022-12-08,"@maripottter @harisooon2019 تا تو بیای همه خبرارو راستی ازمایی کردی همه رو اعدام کردن رفتن پی کارشون
خبرگزاریا خودشون زدن قوه قضاییه اعلام کرده"
2022-12-08,@TonteriYoung @ktyakgae Oh I have read Museum of Innocence.  Nice book. I recommend his other book called My name is Red. So interesting and illuminating.
2022-12-08,"@IranIntlbrk به جهنم ریدم تو قبرش
روزی همشون باشه کصافطا"
2022-12-08,"@TehranWrestling حرومزاده ی کصافط به امید روزی که پاره ی تنت جلوت پرپر بشه
امیدوارم عزیزترین ادم زندگیتو اعدام کننواسه یه خیابون بستن؟ کیرم تو این دین و حکومتی که بهش مینازی"
2022-12-08,"@AtenaDaemi #یاشار_توحیدی
از فکرش لحظه ای بیرون نمیام"
2022-12-07,"@unburiedbooks @SightSoundmag Dead Souls (Gogol)
Ice (Kavan)
Native Son (Wright)
My Name is Red (Pamuk)
White Noise (DeLillo)
Trilogy (Beckett)
Stranger in a Strange Land (Heinlein)
The Red &amp; the Black (Stendhal)
Orlando (Woolf)
Parable of the Talents (Butler)"
2022-12-07,"My Name Is Red (English Edition) KYNEQVV

https://t.co/FeHH4xeLL7 https://t.co/d4hOJFH7B6"
2022-12-07,"@farzinkadkhodae چشم و چراغ ایران
#اعتصابات_سراسری 
#نه_به_کشتن_بلوچها"
2022-12-07,"My Name Is Red (Vintage International) NFOODCW

https://t.co/nxhvEsvHCZ https://t.co/QuC23Z8z2O"
2022-12-06,"@HassanRonaghi اخرین خبری که راجع به #یاشار_توحیدی خوندم مال سه روز پیشه
کسی خبری داره؟
نباید همینطور بی صدا دست روی دست بذاریم"
2022-12-06,"@rojhalat2022 این بار نباید بگیم اعدام نکنید باید بگیم وای بحالتان اگر اعدام کنید
و مهمتر اینکه باور کنیم قدرتمندیم و اونا از قدرت ما میترسن
#محسن_مظلوم 
#وفا_آذربار 
#پژمان_فاتحی
#محمد_فرامرزی"
2022-12-06,@FarahmandAlipur اونا تو خوابم نمیدیدن یکی بیاد که رو دست همه شون بلند شه از توهم خدا بودن
2022-12-06,@HeKasrehCrisis بله مدتهاست منتظریم سکوت ما اتش زیر خاکستر بود انقلاب در ایران اجتناب ناپذیره و قطعا اتفاق میفته
2022-12-06,@k8siegel My name is red by Orhan Pamuk is quite nice. I'm curtently reading that
2022-12-06,@_my_name_is_red @chuilamere @arixolin بعد از ۸۰ روز بگیر و بکش و زندان و تجاوز و شکنجه نمیتونن سه روز مغازه رو ببندن؟ میتونن ولی نمیخوان. از یه جایی به بعد تکلیف روشنه. بچه‌ها نمیتونن دونه دونه نابود بشن که آقای مغازه‌دار ناراحت نشه. با سه روز، نه اجاره‌ای عقب میفته نه کسی ورشکست میشه. #مهسا_امینی #اعتصابات_سراسری
2022-12-06,"@chuilamere @tnzmo @arixolin اره نباید اگر مغازشون بازه اسیب بزنیم چون اولا شرایط همه یکسان نیس ثانیا ما باید جذب حداکثری داشته باشیم با این کارا فقط اونارو مقابل خودمون قرار میدیم
به هرحال به زودی همه اعتصاب میکنن و این انقلاب قطعا به نتیجه میرسه"
2022-12-06,"@_my_name_is_red @tnzmo @arixolin من نفهمیدم چیشد ، یعنی نباید با زور اعتصاب کنند منظورتون اینه ؟ #مهسا_امینی 
#ارمیتا_عباسی
#نه_به_کشتن_بلوچها"
2022-12-06,"@Factor_Sloth Lol, well regardless my name is Red, card game content creator and local Twitter chaos enthusiast. It’s a pleasure to meet you and welcome to the whacky world of content creation 🍻"
2022-12-06,"We're #ReelingInTheYears celebrating 27 years #DubLitAward 🤩
Our 2003 winner My Name is Red by Orhan Pamuk translated from the original Turkish by Erdag M. Göknar.
Like + share one of our posts to be in with a chance to win a copy The Art of Losing by Alice Zeniter https://t.co/1LauuP3xaU"
2022-12-06,"@tnzmo @arixolin شما یا سایبری هستی یا نااگاه
ما قرار نیس به کسی زور بگیم و بر ضرر مردم عادی کار کنیم
این حرف شما دقیقا مصداق کارای ج.ا هست"
2022-12-06,@TedLasso1361 دقیقاا همینطوره البته دلار رو بعید میدونم ولی با افرایش قیمت بنزین چون( ناچار هستن) هم مث ۹۸ این اتفاق میفته
2022-12-06,"@Sunhunterm دمشون گرم ازشون تقاضا دارم دفعه بعدی فهرست شیندلر رو وسط این سرود تخمی پیاده کنن
اون دقیقا وصف حال و روز الانمونه"
2022-12-06,"“Before my birth there was infinite time, and after my death, inexhaustible time. I never thought of it before: I’d been living luminously between two eternities of darkness.”

Orhan Pamuk. “My name is red” 1998.

Vincent van Gogh. “Kop van een skelet met brandende sigaret”. https://t.co/95sWarDkOo"
2022-12-06,@relvrel hi po my name is red and my favorite color is pink kasi maganda lang po sana pinklay nalang pangalan ko diba pero di talaga pink fave color ko sinabi ko lang po yun kase di ko talaga alam fave color ko
2022-12-06,@EnTyranno Red: Allow me to introduce myself My name is red https://t.co/91UEtTEHMl
2022-12-05,My Name Is Red https://t.co/JXqqD7asPF
2022-12-05,"In no particular order:

1. Zinky Boys - Svetlana Alexeivich 
2. The Last Cavalier - Alexander Dumas
3. My Name is Red - Orhan Pamuk 
4. 1984 - George Orwell
5. Homage to Catalonia - George Orwell"
2022-12-05,"my favs were:

LOTE - Shola Von Reinhold
Love / Aggression - June Martin
The Man Who Spoke Snakish - Andrus Kivirähk
My Name Is Red - Orhan Pamuk
Harrow - Joy Williams"
2022-12-05,"@Andrea__Mason @joiedevivre9 Ah, thanks Andrea! That’s lovely of you. I nominate ‘My Name Is Red’ by Orhan Pamuk. Fabulous novel."
2022-12-05,@annskrd @pekerjalab My Name Is Red saya juga masih teronggok di lemari. :/
2022-12-05,"@justchangingun وااای چقدر پست و حقیرن چقدر بدبختن دیگه نمیدونن چه گوهی بخورن
واقعا ایندفعه فرق داره"
2022-12-05,"@ehsani_majid @khaharmiane @mamadporii عرزشی فشار بخور
شماره تلفنم خواستی بگو"
2022-12-05,"@majidmo64 گریه امانم رو بریده...من تحمل این حجم از اندوه رو نداشتم
به امید روزی که انتقامشونو بگیریم ادامه میدم"
2022-12-04,"Dogs do speak, but only to those who know how to listen.
— Orhan Pamuk, ""My Name Is Red"""
2022-12-04,@Omid0390 ممنون از ری اکشن های خوب دوستان😂😂
2022-12-04,@777geosans @ManamiMizuko @MG231101778 Oh! H-hello. *Bowed to him* My name is Red and I'm glad to meet you.. So... you Deus. The god of destroying and war tank. https://t.co/ovgxx9N8sp
2022-12-04,"""I don't want to be a tree. I want to be its meaning."" 
- 'My Name is Red', Orhan Pamuk

(Image courtesy: https://t.co/nYIe3OF9VI)

#orhanpamuk #mynameisred #bookquotes https://t.co/b3OEFdeDvT"
2022-12-03,@hoda_mkm @_my_name_is_red کنارتون هستیم
2022-12-03,"@Mahsa2Nika واقعا اینا معروفن؟ یا من خیلی پرتم؟ اصلا نمیشناسم اولین باره میبینمش
حقیقتا مقصر کسیه که اینارو همچنان فالو داره"
2022-12-03,"@shahriyar_shams شهریار عزیز خواهش میکنم مراقب خودت باش
ما به تو خیلی نیاز داریم
تا همینجا هم خیلی برات گرون تموم شده"
2022-12-03,@farzinkadkhodae سرانجام یه خبر خوشحال کننده
2022-12-03,"@tayyesh1 @khaharmiane @VOAfarsi تو خفه شو بچه شیعه که اینهمه ظلم و تجاوز میبینی و باز کور و کری
شرمم میشه که تو ایرانی هستی
نکبت"
2022-12-03,"@Farzad25092709 @khaharmiane @VOAfarsi گوه زیادی نخور دیکتاتور
توام با ج.ا هیچ فرقی نداری فقط قدرت دستت نیست"
2022-12-03,"@kanadams__ @beehnam نه مطمئنا چیزای زیادی میمونه
الان دیگه عصر تکنولوژیه
بعدم سندهای جنایتشون همین الانم همه جا هست"
2022-12-03,"@_my_name_is_red @beehnam اخه نابود میکنن این اسنادو! 
#مهسا_امینی 
#نه_به_کشتن_بلوچها 
#OpIran"
2022-12-03,"@_my_name_is_red @beehnam از سرنگونی رسیدیم به سر به گونی!می آییم سراغت
#مهسا_امی 
#مهسا_امینی_رمز_فتنه"
2022-12-03,"My Name Is Red (English Edition) OV5KRFQ

https://t.co/HyBWq51uw4 https://t.co/g5cXmpFl0n"
2022-12-03,"@beehnam اصلا مهم نیست که واقعا هک شده یا از عمد منتشر شده
باید انقلاب کرد و بعد از سرنگونیشون فرصت کافی داریم که به این حرفها گوش بدیم و تحلیل کنیم
#اعتصابات_سراسری"
2022-12-03,"@piianiist_ بسیار براشون مهمه
تو اعتصابات قبلی حتی به کسب و کارهای کوچک اینستا هم زنگ زدن که چرا استوری اعتصابات گذاشتن"
2022-12-03,"My name is red #Bastar 
I have spotted this beauty in @KangerValleyNP. #naturelovers https://t.co/BnIFNkzeuI"
2022-12-02,"@Duonna_Antonia @GebelSonja @kulturbolschewi Du bist natürlich ein anderes Kaliber! :-)

Ein Buch das ich immer wieder lese und immer wieder einen vorher übersehenes Juwel drin finde ""My Name is Red"" von Orhan Pamuk."
2022-12-02,@Karisma_66 My name is red
2022-12-02,@MiniMinor6 @_my_name_is_red @arma2517 متاسفانه باهات موافقم ... از کودکی برنامه ریزی میشن برای دگر آزاری ...
2022-12-02,my name is red velvet now i guess😔💗💗
2022-12-02,@goodreads My Name is Red by Orhan Pamuk
2022-12-02,"@MullaNasaruddin बरू लासहरू बोल्छन/बोल्लान ! 'My Name Is Red'  ,हाम्रैमा बनेको 'मलामीमा' बोल्छ त ! तर हामीकहाँ त यी झ्यासहरू बोल्दैनन यार ब्रो 😡"
2022-12-02,@Butterkixxy My name is red pikmin and I agree with this statement
2022-12-02,@corinaromonti I have read A Fine Balance buy unfortunately I'm one of those odd people who couldn't finish The Luminaries and My Name is Red. 🤦🏻‍♀️
2022-12-02,"Cultural and historical differences as to valuing artistic 'originality' and identifying an artist (the concepts overlap) is one of the motifs in Orhan Pamuk's superb novel, *My Name Is Red*."
2022-12-02,@J_Gorraez Have you read A Fine Balance? One of my fave chunky books. Anything by Alexievich. I also love The Luminaries and My Name is Red.
2022-12-02,"@DelusionPosting I read it as ""big"" and wondered what was wrong with this...

Now I bark and my name is Red Rocket."
2022-12-01,@_my_name_is_red @madaresattar @fatemehheydari8 #محمد_حیدری
2022-12-01,"""Dogs do speak, but only to those who know how to listen.
— Orhan Pamuk, ""My Name Is Red""""
 https://t.co/o0Sq0ujKBd"
2022-12-01,@Destroyerofopp3 @_my_name_is_red @AtenaDaemi درسته. به امید آزادی کشثر قشنگمون و به آرامش رسیدن هممون
2022-12-01,"@_my_name_is_red @Shahinlooo @fatemehheydari8 #محمد_حیدری 
#حجت_حیدری"
2022-12-01,"@masoudkazemi81 جواد حیدری رو کشتن و حالا قصد جان برادرش #محمد_حیدری رو دارند
ایشون بازداشت شده و دو هفته است در اعتصاب غذا به سر میبره
صدای این خانواده باشیم
@fatemehheydari8 https://t.co/FEre6xqpba"
2022-12-01,"@mongdimovich @seyedmohammadww نه جانم اینستاگرام جای کسب و کاره که همه با ادرس و مشخصات دقیق و واقعی فعالیت میکنن
مدام هم باهاشون تماس میگیرن
مث توییتر نیس که حتی ندونی اون اکانت مال داداشته
ریسکش زیاده"
2022-12-01,@sk_odi @_my_name_is_red @AtenaDaemi هممون درگیر ظلم ضحاک خونخواریم این وسط بلوچستان و کردستان بیشتر دنگ داده
2022-12-01,"@darushmemar و همینطور #محمد_حیدری برادر #جواد_حیدری
لطفا صدای این خانواده باشید
@fatemehheydari8 https://t.co/14MjAKiBc0"
2022-12-01,"@madaresattar صدای #محمد_حیدری برادر #جواد_حیدری باشین
برادرشو کشتن و حالا خودش هم در بازداشت به سر میبره
دو هفته است اعتصاب غذا کرده
@fatemehheydari8 
لطفا صدای این خانواده باشید https://t.co/qPFApZe02D"
2022-12-01,"@Shahinlooo خانواده جواد حیدری به شدت تحت فشارن
#محمد_حیدری در بازداشت هست و دو هفته هست که 
اعتصاب غذا کرده
لطفا حمایت کنین صداشون شنیده بشه
@fatemehheydari8 https://t.co/XgapwwGXYz"
2022-12-01,@fatemehheydari8 من از امروز تا جایی که بتونم اسم #محمد_حیدری رو فریاد میزنم
2022-12-01,@_my_name_is_red @mtittups @shakila741 دقیقا همینن
2022-12-01,@_my_name_is_red دقیقاااا👍👍✌️✌️
2022-12-01,"@mtittups @ghalamfarsa @shakila741 بنظرم تجدید نظر کن تو فالویینگات
اینا همونان که از همون اول میگفتن وای اعتراض نکنبن که نتو قطع نکنن"
2022-12-01,@_my_name_is_red @Morteza_Sorkh1 🤣🤣🤣🤣🤣
2022-12-01,@MohiKazemi @Morteza_Sorkh1 😂 شما دور افتخار زدی با پرچم؟؟
2022-12-01,"I'm currently reading a book called My Name is Red by Orhan Pamuk. I love this book because it makes me want to draw and paint again after almost a 6 years hiatus, the passion of artistry and the knowledge of masters has really opened my heart to a part of Art that was obscured."
