"DateTime";"Fiyat (open)";"Fiyat (high)";"Fiyat (low)";"Fiyat (close)";"Ağ. Ort. Fiyat";"Hacim"
"2021-01-12 00:00:00";2,04;2,12;1,95;1,965;2,0185;646502,33
"2021-01-13 00:00:00";2,04;2,2;2;2,06;2,0397;4100491,65
"2021-01-14 00:00:00";1,9;2,129;1,9;2,06;2,0471;965202,97
"2021-01-15 00:00:00";2,05;2,15;1,97;2,07;2,0761;2392619,92
"2021-01-18 00:00:00";2;2,125;2;2,05;2,0772;2827581,06
"2021-01-19 00:00:00";2,02;2,2;1,9975;2,2;2,0781;2528414,13
"2021-01-20 00:00:00";2,05;2,2;2,045;2,15;2,0991;2641772,04
"2021-01-21 00:00:00";2,06;2,165;2,06;2,15;2,104;1221249,7
"2021-01-22 00:00:00";2,05;2,185;2;2,1;2,0989;3522656,14
"2021-01-25 00:00:00";2,11;2,15;2,075;2,098;2,1192;2533763,6
"2021-01-26 00:00:00";2,15;2,225;2,1;2,18;2,1311;2341502,55
"2021-01-27 00:00:00";2,15;2,19;2;2,15;2,1222;1758179,2
"2021-01-28 00:00:00";2,125;2,25;2,099;2,099;2,1383;929889,18
"2021-01-29 00:00:00";2,07;2,2;2,05;2,15;2,1312;1801557,4
"2021-02-01 00:00:00";2,05;2,25;2,05;2,185;2,1316;1796931,1
"2021-02-02 00:00:00";2,0125;2,25;2;2,2;2,1417;2085966,8
"2021-02-03 00:00:00";2,1;2,26;2,095;2,15;2,1366;1722958
"2021-02-04 00:00:00";2,1;2,2;2,0999;2,2;2,1298;2392109,02
"2021-02-05 00:00:00";2,1;2,2;2,0277;2,1;2,1319;1592175,83
"2021-02-08 00:00:00";2,1;2,2;2;2,145;2,1258;5282211,6
"2021-02-09 00:00:00";2,01;2,17;2,01;2,05;2,083;1721179,6
"2021-02-10 00:00:00";2,16;2,18;2,04;2,05;2,1048;1973078,18
"2021-02-11 00:00:00";2,125;2,13;2;2,1;2,0655;893347,9
"2021-02-12 00:00:00";2,1;2,325;2,03;2,06;2,1194;1215015,24
"2021-02-15 00:00:00";2,05;2,14;1,999;2,06;2,0728;1840027,22
"2021-02-16 00:00:00";2,05;2,14;2;2,05;2,0662;1625836,2
"2021-02-17 00:00:00";2,105;2,16;1,9;2;2,0505;1568822,7
"2021-02-18 00:00:00";2,05;2,14;1,97;2;2,0354;3457229,2
"2021-02-19 00:00:00";2,05;2,14;1,97;1,99;2,0128;2060077,69
"2021-02-22 00:00:00";2;2,135;1,98;2,04;2,0665;1449768,2
"2021-02-23 00:00:00";2,03;2,135;1,95;1,98;2,0074;3978776,6
"2021-02-24 00:00:00";2,03;2,135;1,97;1,975;2,0433;2654826,35
"2021-02-25 00:00:00";2,04;2,135;2;2,11;2,0642;894614,36
"2021-02-26 00:00:00";2;2,15;1,975;2,049;2,0244;3025029,25
"2021-03-01 00:00:00";2,01;2,18;1,975;2,049;2,0548;1381405,1
"2021-03-02 00:00:00";2;2,135;1,98;2,05;2,0544;4041438,46
"2021-03-03 00:00:00";2,03;2,19;1,975;2,09;2,025;20965479,04
"2021-03-04 00:00:00";2,03;2,19;1,98;2,07;2,0335;10250551,9
"2021-03-05 00:00:00";2,06;2,17;2;2,05;2,0743;4210464,62
"2021-03-08 00:00:00";2,05;2,2;1,98;2,04;2,055;3876151,7
"2021-03-09 00:00:00";2,05;2,15;2;2,0999;2,081;2795576,97
"2021-03-10 00:00:00";2,075;2,17;2;2,08;2,0808;1518705,2
"2021-03-11 00:00:00";2;2,15;1,95;2,03;2,0879;3542397,5
"2021-03-12 00:00:00";2,08;2,2;1,96;2,2;2,0249;2650564,54
"2021-03-15 00:00:00";2;2,15;1,96;2,07;2,0764;4147672,28
"2021-03-16 00:00:00";2,065;2,2;2;2,06;2,0806;4507133,75
"2021-03-17 00:00:00";2,065;2,16;2;2,04;2,0674;4062252,77
"2021-03-18 00:00:00";2,065;2,16;1,98;2,06;2,064;1729290,2
"2021-03-19 00:00:00";2,013;2,105;2;2,039;2,0566;2115147,04
"2021-03-22 00:00:00";2,01;2,19;1,98;2,08;2,0727;4368677,67
"2021-03-23 00:00:00";2,075;2,19;2,01;2,17;2,0685;3294643,54
"2021-03-24 00:00:00";2,065;2,19;1,94;2,05;2,073;2684734,21
"2021-03-25 00:00:00";2,075;2,13;2;2,1;2,0681;5586275,38
"2021-03-26 00:00:00";2,075;2,15;1,9;2,05;2,0615;2959679,38
"2021-03-30 00:00:00";2;2,15;1,9;2,1;2,0149;4300968,76
"2021-03-31 00:00:00";2,051;2,1;1,97;2,03;2,0437;2396166,06
"2021-04-01 00:00:00";2,05;2,2;1,9;2,05;2,0548;2346167,92
"2021-04-02 00:00:00";2,02;2,15;1,96;2,049;2,0482;3790918,2
"2021-04-05 00:00:00";2,045;2,18;1,9;2,05;2,0629;2345347,55
"2021-04-06 00:00:00";2,03;2,16;1,985;2,04;2,0491;3090611,54
"2021-04-07 00:00:00";2,02;2,08;1,9;2,025;2,0394;868733,62
"2021-04-08 00:00:00";2,075;2,09;1,91;2,025;2,0424;2498950,6
"2021-04-09 00:00:00";2,035;2,16;1,979;2,035;2,0312;2040941,32
"2021-04-12 00:00:00";2,05;2,06;1,95;1,95;2,0464;983033,28
"2021-04-13 00:00:00";2;2,165;1,95;2,04;2,0444;2903424,84
"2021-04-14 00:00:00";2,09;2,125;1,98;2,075;2,0594;2444169,87
"2021-04-15 00:00:00";2,039;2,125;1,95;2;2,0311;2940934,08
"2021-04-16 00:00:00";2,14;2,14;1,9;1,98;2,0289;2867592,04
"2021-04-19 00:00:00";2,02;2,12;1,9;2;2,0166;2848398,3
"2021-04-20 00:00:00";2,015;2,14;1,939;2,035;2,0391;3689940,36
"2021-04-21 00:00:00";2;2,1;1,8;1,98;2,015;4380867,59
"2021-04-22 00:00:00";2;2,135;1,875;2,029;2,0183;4930625,3
"2021-04-26 00:00:00";2;2,125;1,98;2,05;2,0475;9154710,19
"2021-04-27 00:00:00";2,05;2,25;1,96;2,03;2,0418;9388336,87
"2021-04-28 00:00:00";2,06;2,15;1,9999;2,04;2,0525;5125848,24
"2021-04-29 00:00:00";2,05;2,11;1,99;2,05;2,0464;4280996,28
"2021-04-30 00:00:00";2,05;2,13;1,98;2,046;2,0684;2154141,37
"2021-05-03 00:00:00";2,021;2,15;2,021;2,1;2,0887;707201,47
"2021-05-04 00:00:00";2,08;2,15;1,885;2,08;2,094;2197018,7
"2021-05-05 00:00:00";2,07;2,15;2;2,075;2,0772;1068449,5
"2021-05-06 00:00:00";2;2,2;1,975;2,1;2,1051;2606735,05
"2021-05-07 00:00:00";2,03;2,2;1,99;2,119;2,0852;3696667,73
"2021-05-10 00:00:00";2,1;2,23;2;2,2;2,1272;1459210,11
"2021-05-11 00:00:00";2,05;2,2;1,98;2,12;2,105;1091941
"2021-05-12 00:00:00";2,09;2,1;2,09;2,1;2,0947;175498
"2021-05-17 00:00:00";2,13;2,175;2,05;2,08;2,1047;22786803,85
"2021-05-18 00:00:00";2,1;2,22;2,08;2,11;2,1045;24875040
"2021-05-20 00:00:00";2,09;2,35;2,075;2,26;2,1237;21678053,87
"2021-05-21 00:00:00";2,09;2,34;2,075;2,28;2,1139;18519690,9
"2021-05-24 00:00:00";2,1;2,5;2,08;2,5;2,1181;23476292
"2021-05-25 00:00:00";2,29;2,453;2,075;2,295;2,3363;1436282,26
"2021-05-26 00:00:00";2,3;2,45;2,26;2,31;2,3599;2914002,36
"2021-05-27 00:00:00";2,51;2,51;2,29;2,29;2,3722;1761620,08
"2021-05-28 00:00:00";2,05;2,45;2,05;2,4;2,3053;3369160,38
"2021-05-31 00:00:00";2,38;2,52;2,2;2,45;2,4351;13560586,67
"2021-06-01 00:00:00";2,35;2,5;2,1;2,1;2,4356;2173322,83
"2021-06-02 00:00:00";2,4;2,5;2,16;2,4;2,3959;1288998,54
"2021-06-03 00:00:00";2,4;2,51;2,3;2,5;2,4635;2066211,15
"2021-06-04 00:00:00";2,2;2,53;2,2;2,5;2,4605;1529644,33
"2021-06-07 00:00:00";2,45;2,58;2,343;2,49;2,4884;3022350,8
"2021-06-08 00:00:00";2,479;2,65;2,365;2,5;2,4981;2962674,17
"2021-06-09 00:00:00";2,47;2,58;2,45;2,58;2,5063;3034433,35
"2021-06-10 00:00:00";2,2;2,59;2,2;2,49;2,4987;2649551,23
"2021-06-11 00:00:00";2,449;2,7;2,39;2,52;2,5111;1089473,25
"2021-06-14 00:00:00";2,52;2,56;2,26;2,51;2,503;3682253,06
"2021-06-15 00:00:00";2,5;2,7;2,42;2,42;2,4988;2364858,9
"2021-06-16 00:00:00";2,55;2,62;2,39;2,42;2,4949;6929452
"2021-06-17 00:00:00";2,46;2,59;2,4;2,455;2,5047;8989555,42
"2021-06-18 00:00:00";2,4;2,56;2,4;2,51;2,4668;1519731,97
"2021-06-21 00:00:00";2,425;2,58;2,38;2,45;2,4912;3878792,85
"2021-06-22 00:00:00";2,425;2,55;2,4;2,44;2,4601;3896302,37
"2021-06-23 00:00:00";2,175;2,7;2,175;2,415;2,4535;4234075,7
"2021-06-24 00:00:00";2,43;2,55;2,2;2,2;2,4709;3010339,07
"2021-06-25 00:00:00";2,4;2,55;2,35;2,4;2,4687;3565515,45
"2021-06-28 00:00:00";2,41;2,54;2,35;2,43;2,5091;4775300,02
"2021-06-29 00:00:00";2,25;2,53;2,25;2,5299;2,4789;1731709,09
"2021-06-30 00:00:00";2,175;2,54;2,175;2,53;2,449;3356956,85
"2021-07-01 00:00:00";2,225;2,53;2,225;2,52;2,4215;2382224,1
"2021-07-02 00:00:00";2,225;2,54;2,175;2,34;2,3632;4729316,29
"2021-07-05 00:00:00";2,175;2,55;2,175;2,38;2,3614;5635080,37
"2021-07-06 00:00:00";2,3;2,65;2,175;2,65;2,3082;7749806,03
"2021-07-07 00:00:00";2,175;2,53;2,175;2,4;2,3597;4956112,43
"2021-07-08 00:00:00";2,175;2,72;2,175;2,72;2,3489;5646231,96
"2021-07-09 00:00:00";2,25;2,55;2,2;2,41;2,3227;4426888,71
"2021-07-12 00:00:00";2,225;2,85;2;2,54;2,3397;11880142,76
"2021-07-13 00:00:00";2,2;2,52;2,2;2,315;2,3648;6399813,27
"2021-07-14 00:00:00";2,3;2,61;2,175;2,49;2,3281;7096792,21
"2021-07-16 00:00:00";2,3;2,45;2,05;2,38;2,3283;6527266,58
"2021-07-19 00:00:00";2,25;2,48;2,05;2,35;2,315;3158910,44
"2021-07-26 00:00:00";2,25;3,015;2,175;2,33;2,3219;5231573,55
"2021-07-27 00:00:00";2,175;2,6;2,1;2,51;2,3246;10178538,4
"2021-07-28 00:00:00";2,25;2,56;2,175;2,3;2,319;10415466,34
"2021-07-29 00:00:00";2,3;2,55;2,05;2,29;2,3403;8471418,46
